,Lat,Lng,Total # of Restaurants
295,37.784307,-122.183633,1100
296,37.784307,-122.091012,365
297,37.784307,-121.998391,335
298,37.784307,-121.90576999999999,415
299,37.784307,-121.813149,155
300,37.784307,-121.720528,68
301,37.784307,-121.62790700000001,11
302,37.784307,-121.53528600000001,48
303,37.784307,-121.44266499999999,199
304,37.711816999999996,-123.109843,0
305,37.711816999999996,-123.017222,0
306,37.711816999999996,-122.924601,0
307,37.711816999999996,-122.83198,0
308,37.711816999999996,-122.73935900000001,0
309,37.711816999999996,-122.64673799999998,0
310,37.711816999999996,-122.55411699999999,273
311,37.711816999999996,-122.461496,4500
312,37.711816999999996,-122.368875,3500
313,37.711816999999996,-122.27625400000001,740
314,37.711816999999996,-122.183633,992
315,37.711816999999996,-122.091012,728
316,37.711816999999996,-121.998391,286
317,37.711816999999996,-121.90576999999999,553
318,37.711816999999996,-121.813149,389
319,37.711816999999996,-121.720528,204
320,37.711816999999996,-121.62790700000001,2
321,37.711816999999996,-121.53528600000001,48
322,37.711816999999996,-121.44266499999999,198
323,37.639327,-123.109843,0
324,37.639327,-123.017222,0
325,37.639327,-122.924601,0
326,37.639327,-122.83198,0
327,37.639327,-122.73935900000001,0
328,37.639327,-122.64673799999998,0
329,37.639327,-122.55411699999999,112
330,37.639327,-122.461496,955
331,37.639327,-122.368875,953
332,37.639327,-122.27625400000001,358
333,37.639327,-122.183633,405
334,37.639327,-122.091012,933
335,37.639327,-121.998391,535
336,37.639327,-121.90576999999999,455
337,37.639327,-121.813149,403
338,37.639327,-121.720528,202
339,37.639327,-121.62790700000001,2
340,37.639327,-121.53528600000001,4
341,37.639327,-121.44266499999999,12
342,37.566837,-123.109843,0
343,37.566837,-123.017222,0
344,37.566837,-122.924601,0
345,37.566837,-122.83198,0
346,37.566837,-122.73935900000001,0
347,37.566837,-122.64673799999998,0
348,37.566837,-122.55411699999999,95
349,37.566837,-122.461496,512
350,37.566837,-122.368875,855
351,37.566837,-122.27625400000001,802
352,37.566837,-122.183633,293
353,37.566837,-122.091012,499
354,37.566837,-121.998391,786
355,37.566837,-121.90576999999999,256
356,37.566837,-121.813149,49
357,37.566837,-121.720528,4
358,37.566837,-121.62790700000001,1
359,37.566837,-121.53528600000001,0
360,37.566837,-121.44266499999999,0
361,37.494347,-123.109843,0
362,37.494347,-123.017222,0
363,37.494347,-122.924601,0
364,37.494347,-122.83198,0
365,37.494347,-122.73935900000001,0
366,37.494347,-122.64673799999998,0
367,37.494347,-122.55411699999999,29
368,37.494347,-122.461496,97
369,37.494347,-122.368875,436
370,37.494347,-122.27625400000001,873
371,37.494347,-122.183633,741
372,37.494347,-122.091012,508
373,37.494347,-121.998391,726
374,37.494347,-121.90576999999999,609
375,37.494347,-121.813149,71
376,37.494347,-121.720528,0
377,37.494347,-121.62790700000001,0
378,37.494347,-121.53528600000001,0
379,37.494347,-121.44266499999999,0
380,37.421857,-123.109843,0
