Fermentation Lab,"['Gastropubs', 'Beer Bar']",San Francisco,94102.0,37.77852,-122.41561000000002,4.5,229,$$,GmHNkpAaypi9jclaLI7sDQ
Hinata,"['Sushi Bars', 'Japanese']",San Francisco,94109.0,37.78324,-122.42048,4.5,426,$$$$,yD9-WrXijc_grVmi_zkCfQ
Folklores Coffee Traders,"['Coffee & Tea', 'Coffee Roasteries', 'Breakfast & Brunch']",San Francisco,94115.0,37.7788831,-122.43196709999998,4.5,96,$,aF682DEnmO6TBQdLb_dHwg
Bar 587,"['Lounges', 'Cocktail Bars', 'Sandwiches']",San Francisco,94102.0,37.78771,-122.41139,4.5,229,$$,CanHZllFdfW89hzwN_9meg
Michaelis Food Store,"['Grocery', 'Delis', 'Beer, Wine & Spirits']",San Francisco,94109.0,37.8053092956543,-122.42214202880899,4.5,101,$,Z1Umjcm-gD49iItsZtY5Fg
Beit Rima,"['Arabian', 'Mediterranean', 'Lebanese']",San Francisco,94114.0,37.76872,-122.42943,4.5,171,$$,BjlVE7tTp1UCEttgkM1Big
Hollywood Cafe,"['Breakfast & Brunch', 'Cafes']",San Francisco,94133.0,37.8065799,-122.41584,4.5,2016,$$,vVN_oVe6jvr4PCmXg_m9CA
Rusty's Southern,"['Southern', 'Breakfast & Brunch', 'Diners']",San Francisco,94109.0,37.7844,-122.41855,4.5,905,$$,wZv5s1J3xmUkO-x9b8_-yQ
Vive La Tarte,"['Bakeries', 'Breakfast & Brunch', 'Coffee & Tea']",San Francisco,94103.0,37.7769811042271,-122.410907296645,4.5,498,$$,4qC4rdMhPBV-BDI-ET2ijg
Leopold's,"['German', 'Austrian', 'Bars']",San Francisco,94109.0,37.79892,-122.42207,4.5,1028,$$,sQavxElZ71EGMrQ1zktn8Q
Thorough Bread & Pastry,"['Patisserie/Cake Shop', 'Cafes']",San Francisco,94114.0,37.766512380943105,-122.42903485894199,4.5,821,$,MTIqLOBdISaon4G22qb5Lg
Trestle,['American (New)'],San Francisco,94133.0,37.796127,-122.404495,4.5,808,$$$,jcFf2ZnJYL0nWCdIpqiA-g
Omakase,"['Sushi Bars', 'Japanese']",San Francisco,94103.0,37.77067190948609,-122.402888577285,4.5,420,$$$$,WpcWACqlAodx5dbe5GJWZA
Hogwash,"['Gastropubs', 'Beer Bar']",San Francisco,94102.0,37.7891754,-122.4099292,4.5,1003,$$,t5OypGYSwYIXKjkEQx3BNw
Deli Board,"['Delis', 'Sandwiches']",San Francisco,94103.0,37.7776247966103,-122.407012712007,4.5,1256,$$,BcW0vRdM8N-rteR2FfV1jg
Curry Leaf,"['Indian', 'Halal', 'Pakistani']",San Francisco,94133.0,37.80308,-122.41452,4.5,592,$$,c70nh-BV7Nn_rnNXDXnABg
The Sandwich Place,['Sandwiches'],San Francisco,94110.0,37.76443,-122.4191,4.5,271,$,uAVg1yq5kb3Ia2Ve5_K5HQ
