94502,Bowl’d BBQ,37.7575664691313,-122.25219078362,2201D S Shore Center Dr,94501,4.0,431,$$,Korean,rycqgJttdqwEjbOCMAOQ3w
94502,Jolly Rogers Diner,37.7429966507335,-122.195341961715,8350 Edes Ave,94621,4.0,294,$$,American (Traditional),n6nt_0Ucv9P0TlZTacuo2w
94502,Abigail's Moroccan Cuisine,37.766354,-122.2880167,1132 Ballena Blvd,94501,4.5,358,$,Moroccan,YH82tozaJi_cCKU6xF6IxQ
94502,Burma Superstar,37.76369,-122.24344,1345 Park St,94501,4.0,1824,$$,Burmese,U3sI7T8D8ZiRmVuHxfMJDg
94502,"Q's Halal ""Mediterranean Comfort""",37.764514,-122.243903,2306 Central Ave,94501,4.5,609,$,Halal,hi7tFQLY-phiPXytqFULCQ
94502,Hegenburger,37.7331667908277,-122.19823288591,280 Hegenberger Rd,94621,4.5,270,$,Breakfast & Brunch,uLKWYFwcMA0s1HxV35M1TQ
94502,Monkey Thai,37.757222,-122.252783596625,2210 S Shore Ctr,94501,3.5,158,$$,Thai,PnNIN3TP2kFJ-JOfcw7ROQ
94502,Sidestreet Pho,37.7629323,-122.2450717,2304 Encinal Ave,94501,4.0,743,$$,Vietnamese,cW8_VvgXmb-d_3tWzBuQow
94502,Cholita Linda,37.76355,-122.24355,1337 Park St,94501,4.0,176,$$,Latin American,-JN1whnyt6V138qNIjGLcw
94502,Angel Fish Japanese Restaurant,37.7374630739588,-122.240117329639,883 Island Dr,94502,3.5,603,$$,Japanese,ef6lkEMvgP4KNbznrAz1pQ
94502,China Villa,37.7369978,-122.2390819,891 Island Dr,94502,3.5,120,$$,Cantonese,kUdYNcEa37F0dKNwRVV6_Q
94502,La Penca Azul,37.7369978,-122.2390819,891-B Island Dr,94502,3.5,384,$$,Mexican,wsjZtcrKw2zbGuV7MgbYAQ
94502,Hang Ten Boiler,37.7659499,-122.2425,2315 Santa Clara Ave,94501,4.0,1076,$$,Cajun/Creole,kfRwWdRTJf1cnOQF-ofWUg
94502,Phnom Penh Restaurant,37.77385,-122.27646,1514 Webster St,94501,4.5,893,$$,Cambodian,BIAvMuRWS_WWmTjK_qBh2g
94502,Maitland Market Cafe & Deli,37.7356986999512,-122.235359191895,109 Maitland Dr,94502,4.0,85,$,Grocery,zvwyJYP6Dh88GJgL4w2QRQ
94502,The Park Street Tavern,37.769991,-122.23825,1901 Park St,94501,4.5,104,$$,Greek,zw4_Hz06ARZyocL0t9XQCg
94502,Pho and Baguette,37.77129,-122.27709,660 Central Ave,94501,4.0,207,$,Vietnamese,otc_OA3-Hbf48slh6YlswQ
94502,American Oak,37.76581,-122.2423,2319 Santa Clara Ave,94501,4.0,565,$$,American (New),PIC3URoS728clY5Cw6RTGw
94502,La Val's Pizza,37.7369978,-122.2390819,891 Island Dr,94502,3.5,219,$$,Pizza,P2phazI0wC2QwRg3z6vYSg
