,Name,Category,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID,County
87,Wendy's,"Burgers,FastFood",38.32287,-122.30241,2.5,34,$,BYg5m-KKP9phvD2YXrXydg,Napa
88,Pizza Guys,Pizza,38.31580992,-122.2976402,3,66,$$,-8IQoQvRJIlHLe718ldpaA,Napa
89,Small World Deli,Delis,38.29831704,-122.2866726,5,29,$,vxw7tfCYs93BnH07SBg8vA,Napa
90,Chipotle Mexican Grill,"Mexican,FastFood",38.32124148,-122.3061231,3,94,$,uGvz0jz7gDdE-xk0Ev8ngA,Napa
93,Panera Bread,"Sandwiches,Salad,Soup",38.320649,-122.3067224,2.5,115,$,XWyTzeZMGXoI9g62hJ9EbQ,Napa
95,Round Table Pizza,"Pizza,Buffets",38.31931232,-122.309842,3,84,$$,exeUfCluoERaGs_JCh_T0g,Napa
96,McDonald's,"FastFood,Burgers",38.319935,-122.298506,2,39,$,3u8DHV4mMSaWBA58d0kacA,Napa
97,Suppertime,American(Traditional),38.2948589,-122.3027956,3.5,43,$,PxxfICPaKqUqBISbthHPIQ,Napa
100,Hunan China Express,Chinese,38.29491,-122.30278,3,25,$$,HEa99FW7nVEn_SL90beSrQ,Napa
102,KFC,"FastFood,ChickenWings,ChickenShop",38.32016,-122.299,1.5,47,$,aJPLbbEXaBse-9oBDJPkwA,Napa
104,Pizza Hut,"Pizza,Italian,ChickenWings",38.3185733,-122.2979307,2,46,$,LheQkXRf0ra_w-tpkvV2iA,Napa
106,Taqueria La Jerezana,Mexican,38.31052566,-122.2958504,3.5,3,Unavailable,C5hKxWSTjAHiKt9UHkwyxg,Napa
107,Burger King,"Burgers,FastFood",38.316182,-122.298429,2.5,18,$,sPRHhiIWQvDWqIZ2scv5fA,Napa
108,Round Table Pizza,"Pizza,Desserts,Salad",38.31978,-122.31059,5,1,Unavailable,3vyctHlYDt3Fqr0z7VPNEw,Napa
112,China House,Chinese,38.31533,-122.297384,3.5,80,$$,8AZTqqEUSOgO9_Yc0Ou1rQ,Napa
113,Round Table Pizza,"Pizza,Buffets",38.30974,-122.28592,2,44,$$,NZxiH2tIziR075z7LsjVVw,Napa
114,Rickys Hotdogs,HotDogs,38.29665117,-122.3026153,5,1,Unavailable,CxEgp3bbGaXE_oUAyXJNLA,Napa
115,Jack in the Box,"FastFood,Breakfast&Brunch,Burgers",38.32163964,-122.3046166,1.5,28,$,HpgBcWvYTEml-KdhNaXRvA,Napa
116,Subway,"Sandwiches,FastFood",38.3193,-122.29819,2,21,$,tpb2vhHoRt_jXbdyWy6BEQ,Napa
117,Subway,"Sandwiches,FastFood",38.31067,-122.28573,2.5,19,$,SMJJmClDDnZqNoiyeBVfZg,Napa
119,Fairview Market & Deli,Delis,38.2972759,-122.269199,2.5,4,$,g42RHmZfOSZvhD-jPOlYuQ,Napa
120,Subway,"Sandwiches,FastFood",38.2948382,-122.3029099,1.5,4,$,ylTE2_Stcs7jPAK4h0lZnA,Napa
121,Stanly Lane Smokehouse,"Delis,Barbeque",38.2594879,-122.3073934,4,150,$$,vHWW92_sd8fh3DWlIP5qIg,Napa
122,Provisions Napa,Cafes,38.249688,-122.27593,5,3,Unavailable,LV59G2tSkVejLMnw1qrJqA,Napa
124,Siena Restaurant,"Italian,Breakfast&Brunch,Diners",38.24667395,-122.2728539,3.5,292,$$,PpH7xQltJhOHcIDy3ppZlg,Napa
125,Blend,Breakfast&Brunch,38.245947,-122.274834,4,38,$$,RIeCqGwe6NIc0kLT3hEcaw,Napa
126,Villa Romano Italian Cuisine,Italian,38.240111,-122.269625,3,134,$$,7905iI8VMIaCNdd86zmwtA,Napa
127,McDonald's,"FastFood,Burgers",38.281065,-122.275561,2,40,$,doMV0bOeThya1fr-25Xleg,Napa
128,Jack's Bar & Grill,Burgers,38.2657814,-122.2762756,3,2,$$,VDCGSBVGZAqwnaewmdseuQ,Napa
130,The Campus Kitchen,Cafes,38.274322,-122.2777462,1,1,Unavailable,rohblhouUrZOb1uKo7neyA,Napa
131,Subway,"Sandwiches,FastFood",38.25849,-122.27196,2,5,$,yXr3su5g2gY8Sq2wRxpfVA,Napa
133,Tony's Kitchen,"Italian,Salad,Pizza",38.2187397,-122.2671761,3,30,$$,utuNhmKi9VHFwfjtSfGRWg,Napa
134,The Runway,"American(New),American(Traditional)",38.21704106,-122.2657828,5,2,Unavailable,kJ_txzTtRCY5ajpiKtV08Q,Napa
135,The View Bar & Grill,"American(New),American(Traditional)",38.22004545,-122.2344227,4.5,15,$$,15RjOilOZ79FHjTH8I-cUg,Napa
138,Catelli's,"American(New),Italian",38.7066059,-122.9045721,4.5,617,$$,Wj8k1Rq86UywXZko-aalaA,Sonoma
139,Diavola Pizzeria & Salumeria,"Italian,Pizza",38.7063593,-122.9042016,4,687,$$,gMwxfXT_QPTYicFfdQeeWg,Sonoma
140,Geyserville Grille,American(Traditional),38.713723,-122.91497,3.5,121,$$,00gDhXc0WHN-XqeUWv_Iog,Sonoma
141,Wero,Tex-Mex,38.715448,-122.923079,4.5,48,$$,AEQj8nCsfq8E7v59cMiWQg,Sonoma
142,"Rustic, Francis's Favorites","Italian,American(New),Pizza",38.68024,-122.88752,4,669,$$,jEEp2Nimv9C7YeqwrNoSGQ,Sonoma
143,Krispy Krunchy Chicken,ChickenShop,38.70677,-122.90503,4,4,Unavailable,KSvLI-yFoKVPEUr_4exOOA,Sonoma
145,Quail Run Buffet,Buffets,38.699,-122.8622197,3.5,26,$$,aigMv_ngml92jA7XcCnHbw,Sonoma
146,Center Stage Bar and Grill,American(New),38.703331,-122.859624,3,8,Unavailable,xmn7JsaU1Ki3d19ft41mIw,Sonoma
148,Dry Creek General Store,"Delis,Breakfast&Brunch,Sandwiches",38.654709,-122.9218287,3.5,248,$$,V2vmgtG0M5vK9O1e6JNl-g,Sonoma
149,Taco truck 101 exit Lytton Springs/ Geyserville Road,Tex-Mex,38.65930254,-122.8723846,4.5,24,$,P_h1QNdc-x_q4mpRi2ePeA,Sonoma
150,Taqueria Guanajuato Taco Truck,Mexican,38.6498995,-122.8690892,4.5,12,Unavailable,zMTSac15ibSmaq_5jOz7XA,Sonoma
151,Jimtown Store,"Sandwiches,Breakfast&Brunch,Desserts",38.66882224,-122.8171771,4,194,$$,ew4T-ysxqC-A6gqe4DcKKg,Sonoma
153,Adel's,"Desserts,American(Traditional),Diners",38.62556,-122.87668,3,100,$$,Mk9hPp4D83GHY0oRE4W2JQ,Sonoma
154,Bravas,"Spanish,TapasBars,Tapas/SmallPlates",38.6129,-122.86972,4,825,$$,jaX7ZGvnZyLQ-geFtTCcIw,Sonoma
155,Guiso Latin Fusion,"LatinAmerican,Caribbean",38.61217511,-122.8703534,5,242,$$,koNsWVTzEbJwNH14fD_iWA,Sonoma
156,Campo Fina,"Italian,Tapas/SmallPlates",38.61163,-122.87036,4,454,$$,1h4jRE-ZbEwf5lKs2OeIRA,Sonoma
158,Barndiva,American(New),38.60960388,-122.8695297,4,772,$$$,J-L3eAwagbxVkzPkDBMpog,Sonoma
159,Willi's Seafood & Raw Bar,"Seafood,Tapas/SmallPlates",38.6120736,-122.87121,4,1173,$$$,tbWui-WrCQs0Yw5CJShtJQ,Sonoma
160,Valette Restaurant,"American(New),Desserts,Steakhouses",38.61205,-122.86951,4.5,348,$$$,PqsxJdUmNWxZyh9BLV6Jew,Sonoma
161,The Brass Rabbit,American(New),38.61137,-122.87018,4.5,106,$$$,XRKoiF7uJR725alkQ0OTIA,Sonoma
162,Barrels Brews & Bites,Tapas/SmallPlates,38.611183,-122.870981,4.5,75,$$,7eu0hBSadLFsPKEOvK-_zA,Sonoma
163,SingleThread Farm - Restaurant- Inn,American(New),38.6124,-122.8699,4.5,168,$$$$,Afed6Mayiia8QoiP9cAIUw,Sonoma
164,KINSmoke,"Barbeque,American(Traditional)",38.6108,-122.86909,4,390,$$,EIKjGLbbXstxUVBcLnLfeA,Sonoma
