Row Labels,Count of Category
"['American (Traditional)', 'Breakfast & Brunch', 'Seafood']",1
"['American (Traditional)', 'Breakfast & Brunch', 'Sports Bars']",1
"['American (Traditional)', 'Breakfast & Brunch', 'Vegetarian']",1
"['American (Traditional)', 'Breakfast & Brunch', 'Venues & Event Spaces']",1
"['American (Traditional)', 'Breakfast & Brunch', 'Waffles']",1
"['American (Traditional)', 'Breakfast & Brunch']",43
"['American (Traditional)', 'Breweries', 'Pizza']",1
"['American (Traditional)', 'Breweries']",2
"['American (Traditional)', 'Brewpubs', 'Beer Gardens']",1
"['American (Traditional)', 'Buffets']",1
"['American (Traditional)', 'Burgers', 'Bars']",2
"['American (Traditional)', 'Burgers', 'Bowling']",1
"['American (Traditional)', 'Burgers', 'Breakfast & Brunch']",1
"['American (Traditional)', 'Burgers', 'Cocktail Bars']",1
"['American (Traditional)', 'Burgers', 'Diners']",1
"['American (Traditional)', 'Burgers', 'Fast Food']",1
"['American (Traditional)', 'Burgers', 'Hot Dogs']",1
"['American (Traditional)', 'Burgers', 'Nicaraguan']",1
"['American (Traditional)', 'Burgers', 'Pizza']",1
"['American (Traditional)', 'Burgers', 'Salad']",1
"['American (Traditional)', 'Burgers', 'Sandwiches']",4
"['American (Traditional)', 'Burgers', 'Sports Bars']",1
"['American (Traditional)', 'Burgers']",13
"['American (Traditional)', 'Butcher', 'Sandwiches']",1
"['American (Traditional)', 'Cafes']",2
"['American (Traditional)', 'Campgrounds', 'Burgers']",1
"['American (Traditional)', 'Caribbean', 'Barbeque']",1
"['American (Traditional)', 'Caterers']",1
"['American (Traditional)', 'Cheesesteaks', 'Burgers']",1
"['American (Traditional)', 'Chicken Wings', 'Bubble Tea']",1
"['American (Traditional)', 'Chicken Wings', 'Sports Bars']",1
"['American (Traditional)', 'Chicken Wings']",3
"['American (Traditional)', 'Chinese']",1
"['American (Traditional)', 'Cocktail Bars', 'Breakfast & Brunch']",1
"['American (Traditional)', 'Cocktail Bars', 'Burgers']",1
"['American (Traditional)', 'Cocktail Bars', 'Gastropubs']",1
"['American (Traditional)', 'Cocktail Bars', 'Lounges']",1
"['American (Traditional)', 'Cocktail Bars', 'Music Venues']",1
"['American (Traditional)', 'Cocktail Bars', 'Tapas/Small Plates']",1
"['American (Traditional)', 'Cocktail Bars']",6
"['American (Traditional)', 'Coffee & Tea', 'Breakfast & Brunch']",1
"['American (Traditional)', 'Coffee & Tea', 'Delis']",1
"['American (Traditional)', 'Coffee & Tea']",3
"['American (Traditional)', 'Comfort Food', 'Bars']",1
"['American (Traditional)', 'Comfort Food', 'Diners']",1
"['American (Traditional)', 'Comfort Food', 'Sandwiches']",1
"['American (Traditional)', 'Comfort Food', 'Wine Bars']",1
"['American (Traditional)', 'Comfort Food']",1
"['American (Traditional)', 'Creperies', 'Breakfast & Brunch']",1
"['American (Traditional)', 'Dance Clubs', 'Sports Bars']",1
"['American (Traditional)', 'Delis']",2
"['American (Traditional)', 'Desserts', 'Breakfast & Brunch']",3
"['American (Traditional)', 'Desserts', 'Italian']",1
"['American (Traditional)', 'Desserts', 'Salad']",1
"['American (Traditional)', 'Desserts']",1
"['American (Traditional)', 'Diners', 'Bars']",1
"['American (Traditional)', 'Diners', 'Breakfast & Brunch']",9
"['American (Traditional)', 'Diners', 'Creperies']",1
"['American (Traditional)', 'Diners', 'Greek']",1
"['American (Traditional)', 'Diners', 'Italian']",1
"['American (Traditional)', 'Diners']",5
"['American (Traditional)', 'Dive Bars', 'Caterers']",1
"['American (Traditional)', 'Dive Bars', 'Sports Bars']",1
"['American (Traditional)', 'Dive Bars']",1
"['American (Traditional)', 'Fast Food']",1
"['American (Traditional)', 'Fish & Chips']",1
"['American (Traditional)', 'Food Stands']",1
"['American (Traditional)', 'Food Trucks', 'Sandwiches']",1
"['American (Traditional)', 'Food Trucks']",1
"['American (Traditional)', 'Gastropubs', 'Sandwiches']",1
"['American (Traditional)', 'Gastropubs']",2
"['American (Traditional)', 'Golf']",2
"['American (Traditional)', 'Greek', 'Breakfast & Brunch']",1
"['American (Traditional)', 'Greek', 'Fast Food']",1
"['American (Traditional)', 'Greek']",1
"['American (Traditional)', 'Hawaiian', 'Japanese']",1
"['American (Traditional)', 'Irish Pub']",1
"['American (Traditional)', 'Italian', 'Desserts']",1
"['American (Traditional)', 'Karaoke']",1
"['American (Traditional)', 'Latin American', 'Burgers']",1
"['American (Traditional)', 'Lounges', 'Breakfast & Brunch']",1
"['American (Traditional)', 'Lounges', 'Cocktail Bars']",1
"['American (Traditional)', 'Lounges']",2
"['American (Traditional)', 'Meat Shops']",1
"['American (Traditional)', 'Mediterranean', 'Breakfast & Brunch']",1
"['American (Traditional)', 'Mexican']",3
