Row Labels,Count of Category
"['Halal', 'Middle Eastern', 'Mediterranean']",2
"['Halal', 'Middle Eastern', 'Salad']",1
"['Halal', 'Pakistani', 'Food Trucks']",1
"['Halal', 'Pakistani', 'Indian']",1
"['Halal', 'Pakistani', 'Pizza']",1
"['Halal', 'Pakistani']",1
"['Halal', 'Sandwiches']",1
"['Halal', 'Somali', 'Ethiopian']",1
"['Halal', 'Vietnamese', 'Asian Fusion']",1
['Halal'],4
"['Hawaiian', 'American (Traditional)']",1
"['Hawaiian', 'Asian Fusion', 'Caterers']",1
"['Hawaiian', 'Asian Fusion', 'Food Trucks']",1
"['Hawaiian', 'Asian Fusion']",2
"['Hawaiian', 'Bakeries', 'Chinese']",1
"['Hawaiian', 'Barbeque', 'Burgers']",1
"['Hawaiian', 'Barbeque', 'Chinese']",1
"['Hawaiian', 'Barbeque', 'Fast Food']",1
"['Hawaiian', 'Barbeque', 'Sandwiches']",1
"['Hawaiian', 'Barbeque', 'Shaved Ice']",1
"['Hawaiian', 'Barbeque', 'Sports Bars']",1
"['Hawaiian', 'Barbeque']",9
"['Hawaiian', 'Bars', 'Venues & Event Spaces']",1
"['Hawaiian', 'Bubble Tea', 'Coffee & Tea']",1
"['Hawaiian', 'Burgers', 'Ice Cream & Frozen Yogurt']",1
"['Hawaiian', 'Chinese', 'Barbeque']",1
"['Hawaiian', 'Chinese']",1
"['Hawaiian', 'Fast Food', 'Barbeque']",2
"['Hawaiian', 'Food Trucks']",2
"['Hawaiian', 'Japanese', 'Poke']",1
"['Hawaiian', 'Japanese']",1
"['Hawaiian', 'Poke', 'Acai Bowls']",1
"['Hawaiian', 'Poke', 'Asian Fusion']",1
"['Hawaiian', 'Poke', 'Salad']",1
"['Hawaiian', 'Poke', 'Seafood']",1
"['Hawaiian', 'Poke']",3
"['Hawaiian', 'Salad', 'Seafood']",1
"['Hawaiian', 'Seafood', 'Poke']",1
"['Hawaiian', 'Sushi Bars', 'Poke']",1
"['Hawaiian', 'Tiki Bars', 'Tapas/Small Plates']",1
"['Hawaiian', 'Tiki Bars']",1
"['Hawaiian', 'Venues & Event Spaces', 'Tiki Bars']",1
['Hawaiian'],6
"['Head Shops', 'International Grocery', 'Pizza']",1
"['Health Markets', 'Kosher', 'Delis']",1
"['Himalayan/Nepalese', 'Bars', 'Gluten-Free']",1
"['Himalayan/Nepalese', 'Delis']",1
"['Himalayan/Nepalese', 'Food Stands']",1
"['Himalayan/Nepalese', 'Food Trucks', 'Halal']",1
"['Himalayan/Nepalese', 'Indian', 'Vegan']",3
"['Himalayan/Nepalese', 'Indian']",7
"['Himalayan/Nepalese', 'Vegan', 'Indian']",1
"['Himalayan/Nepalese', 'Vegetarian', 'Gluten-Free']",1
"['Himalayan/Nepalese', 'Wine Bars']",1
['Himalayan/Nepalese'],8
"['Honduran', 'Latin American']",1
"['Honduran', 'Salvadoran']",1
"['Hong Kong Style Cafe', 'Cafes', 'Chinese']",1
"['Hong Kong Style Cafe', 'Cantonese', 'Barbeque']",1
"['Hong Kong Style Cafe', 'Chinese', 'Noodles']",1
"['Hong Kong Style Cafe', 'Dim Sum', 'Cantonese']",1
"['Hong Kong Style Cafe', 'Karaoke']",1
"['Hong Kong Style Cafe', 'Seafood', 'Cantonese']",1
['Hong Kong Style Cafe'],6
"['Hookah Bars', 'Cafes', 'Middle Eastern']",1
"['Hookah Bars', 'Mediterranean']",1
"['Hot Dogs', 'American (New)']",2
"['Hot Dogs', 'Asian Fusion', 'Japanese']",1
"['Hot Dogs', 'Beer Bar']",1
"['Hot Dogs', 'Breakfast & Brunch', 'American (Traditional)']",1
"['Hot Dogs', 'Burgers', 'Chicken Wings']",1
"['Hot Dogs', 'Burgers', 'Fast Food']",1
"['Hot Dogs', 'Burgers', 'Ice Cream & Frozen Yogurt']",1
"['Hot Dogs', 'Burgers', 'Noodles']",1
"['Hot Dogs', 'Burgers', 'Salad']",1
"['Hot Dogs', 'Burgers', 'Sandwiches']",1
"['Hot Dogs', 'Burgers', 'Seafood']",1
"['Hot Dogs', 'Burgers']",6
"['Hot Dogs', 'Donuts']",1
"['Hot Dogs', 'Fast Food', 'Delis']",1
"['Hot Dogs', 'Fast Food', 'Sandwiches']",2
"['Hot Dogs', 'Fast Food']",3
"['Hot Dogs', 'Food Stands', 'Fast Food']",1
"['Hot Dogs', 'Food Stands', 'Sandwiches']",1
"['Hot Dogs', 'Food Stands']",10
"['Hot Dogs', 'Food Trucks', 'Caterers']",1
"['Hot Dogs', 'Food Trucks']",2
"['Hot Dogs', 'German', 'Beer Bar']",1
"['Hot Dogs', 'Ice Cream & Frozen Yogurt', 'American (Traditional)']",1
"['Hot Dogs', 'Ice Cream & Frozen Yogurt']",1
"['Hot Dogs', 'Mexican', 'Burgers']",1
"['Hot Dogs', 'Mexican']",1
"['Hot Dogs', 'Salad', 'Sandwiches']",1
"['Hot Dogs', 'Sandwiches', 'American (New)']",1
"['Hot Dogs', 'Street Vendors', 'Mexican']",2
"['Hot Dogs', 'Street Vendors']",13
['Hot Dogs'],40
"['Hot Pot', 'Asian Fusion', 'Korean']",1
"['Hot Pot', 'Asian Fusion']",1
"['Hot Pot', 'Chinese', 'Barbeque']",1
"['Hot Pot', 'Chinese', 'Bubble Tea']",1
"['Hot Pot', 'Chinese', 'Halal']",2
"['Hot Pot', 'Chinese', 'Mongolian']",1
"['Hot Pot', 'Chinese', 'Seafood']",2
"['Hot Pot', 'Chinese', 'Vegan']",1
"['Hot Pot', 'Chinese']",11
"['Hot Pot', 'Desserts', 'Tapas/Small Plates']",1
"['Hot Pot', 'Japanese']",2
"['Hot Pot', 'Karaoke']",1
"['Hot Pot', 'Seafood', 'Soup']",1
"['Hot Pot', 'Seafood']",1
"['Hot Pot', 'Soup', 'Seafood']",1
"['Hot Pot', 'Szechuan']",3
"['Hot Pot', 'Taiwanese', 'Bubble Tea']",1
['Hot Pot'],2
"['Hotels', 'American (New)']",1
"['Hotels', 'Gas Stations', 'Fast Food']",1
"['Hotels', 'Italian', 'Breakfast & Brunch']",1
"['Hotels', 'Mexican', 'Casinos']",1
"['Hotels', 'Restaurants']",2
"['Hotels', 'Venues & Event Spaces', 'American (New)']",1
"['Hotels', 'Wine Bars', 'Italian']",1
"['Ice Cream & Frozen Yogurt', 'American (Traditional)', 'Breakfast & Brunch']",1
"['Ice Cream & Frozen Yogurt', 'American (Traditional)', 'Desserts']",1
"['Ice Cream & Frozen Yogurt', 'American (Traditional)']",1
"['Ice Cream & Frozen Yogurt', 'Beer, Wine & Spirits', 'American (Traditional)']",1
"['Ice Cream & Frozen Yogurt', 'Breakfast & Brunch', 'American (New)']",1
"['Ice Cream & Frozen Yogurt', 'Breakfast & Brunch', 'Burgers']",1
"['Ice Cream & Frozen Yogurt', 'Breakfast & Brunch', 'Sandwiches']",1
"['Ice Cream & Frozen Yogurt', 'Burgers', 'Acai Bowls']",1
"['Ice Cream & Frozen Yogurt', 'Burgers', 'Fast Food']",1
"['Ice Cream & Frozen Yogurt', 'Burgers', 'Hot Dogs']",1
"['Ice Cream & Frozen Yogurt', 'Burgers', 'Sandwiches']",2
"['Ice Cream & Frozen Yogurt', 'Cafes', 'Juice Bars & Smoothies']",1
"['Ice Cream & Frozen Yogurt', 'Cafes']",4
"['Ice Cream & Frozen Yogurt', 'Coffee & Tea', 'Breakfast & Brunch']",2
"['Ice Cream & Frozen Yogurt', 'Coffee & Tea', 'Cafes']",1
"['Ice Cream & Frozen Yogurt', 'Coffee & Tea', 'Creperies']",2
"['Ice Cream & Frozen Yogurt', 'Coffee & Tea', 'Sandwiches']",1
"['Ice Cream & Frozen Yogurt', 'Coffee & Tea', 'Waffles']",1
"['Ice Cream & Frozen Yogurt', 'Creperies', 'Bubble Tea']",1
"['Ice Cream & Frozen Yogurt', 'Creperies', 'Coffee & Tea']",1
"['Ice Cream & Frozen Yogurt', 'Creperies', 'Mexican']",1
"['Ice Cream & Frozen Yogurt', 'Delis', 'Sandwiches']",1
"['Ice Cream & Frozen Yogurt', 'Desserts', 'Cafes']",1
"['Ice Cream & Frozen Yogurt', 'Desserts', 'Mexican']",1
"['Ice Cream & Frozen Yogurt', 'Desserts', 'Vegan']",1
"['Ice Cream & Frozen Yogurt', 'Diners', 'Sandwiches']",1
"['Ice Cream & Frozen Yogurt', 'Fast Food', 'Burgers']",1
"['Ice Cream & Frozen Yogurt', 'Fast Food']",1
"['Ice Cream & Frozen Yogurt', 'Food Stands']",4
"['Ice Cream & Frozen Yogurt', 'Halal', 'Fast Food']",1
"['Ice Cream & Frozen Yogurt', 'Hot Dogs', 'Shaved Ice']",1
"['Ice Cream & Frozen Yogurt', 'Mexican', 'Desserts']",1
"['Ice Cream & Frozen Yogurt', 'Mexican']",4
"['Ice Cream & Frozen Yogurt', 'Pizza', 'Chicken Wings']",1
"['Ice Cream & Frozen Yogurt', 'Pizza', 'Sandwiches']",1
"['Ice Cream & Frozen Yogurt', 'Pop-Up Restaurants']",2
"['Ice Cream & Frozen Yogurt', 'Sandwiches', 'Juice Bars & Smoothies']",1
"['Ice Cream & Frozen Yogurt', 'Sandwiches', 'Wraps']",2
"['Ice Cream & Frozen Yogurt', 'Sandwiches']",1
"['Ice Cream & Frozen Yogurt', 'Thai']",1
"['Ice Cream & Frozen Yogurt', 'Vegan', 'Bubble Tea']",1
"['Imported Food', 'Desserts', 'Vietnamese']",1
"['Indian', 'American (New)']",1
"['Indian', 'Asian Fusion', 'Music Venues']",1
"['Indian', 'Asian Fusion', 'Pizza']",1
"['Indian', 'Asian Fusion']",4
"['Indian', 'Bakeries', 'Breakfast & Brunch']",1
"['Indian', 'Bakeries', 'Buffets']",1
"['Indian', 'Bangladeshi', 'Halal']",1
"['Indian', 'Bars', 'American (New)']",1
"['Indian', 'Bars', 'Buffets']",1
"['Indian', 'Bars', 'Pakistani']",1
"['Indian', 'Bars', 'Venues & Event Spaces']",1
"['Indian', 'Bars']",4
"['Indian', 'Beverage Store', 'Soup']",1
"['Indian', 'Breakfast & Brunch']",1
"['Indian', 'Buffets', 'Bars']",1
"['Indian', 'Buffets', 'Breakfast & Brunch']",1
"['Indian', 'Buffets', 'Caterers']",1
"['Indian', 'Buffets', 'Halal']",1
"['Indian', 'Buffets', 'Pakistani']",1
"['Indian', 'Buffets']",15
"['Indian', 'Burgers', 'Kebab']",1
"['Indian', 'Cafes']",1
"['Indian', 'Caterers']",1
"['Indian', 'Chinese', 'Himalayan/Nepalese']",1
"['Indian', 'Cocktail Bars', 'Breakfast & Brunch']",1
"['Indian', 'Cocktail Bars']",2
"['Indian', 'Coffee & Tea']",1
"['Indian', 'Delis']",1
"['Indian', 'Desserts', 'Buffets']",1
"['Indian', 'Desserts', 'Ice Cream & Frozen Yogurt']",1
"['Indian', 'Desserts', 'Party Supplies']",1
"['Indian', 'Desserts', 'Seafood']",2
"['Indian', 'Desserts']",3
"['Indian', 'Diners', 'Buffets']",1
"['Indian', 'Fast Food']",1
"['Indian', 'Food Delivery Services', 'Caterers']",1
"['Indian', 'Food Stands']",1
"['Indian', 'Food Trucks', 'Kebab']",1
"['Indian', 'Food Trucks', 'Vegetarian']",1
"['Indian', 'Food Trucks']",5
"['Indian', 'Grocery', 'Threading Services']",1
"['Indian', 'Grocery']",2
"['Indian', 'Halal', 'Asian Fusion']",1
"['Indian', 'Halal', 'Buffets']",1
"['Indian', 'Halal', 'Desserts']",1
"['Indian', 'Halal', 'Fast Food']",1
"['Indian', 'Halal', 'Mediterranean']",1
"['Indian', 'Halal', 'Pakistani']",8
"['Indian', 'Halal', 'Seafood']",1
"['Indian', 'Halal', 'Wraps']",2
"['Indian', 'Halal']",6
"['Indian', 'Himalayan/Nepalese', 'Buffets']",2
"['Indian', 'Himalayan/Nepalese', 'Halal']",1
"['Indian', 'Himalayan/Nepalese', 'Lounges']",1
"['Indian', 'Himalayan/Nepalese', 'Pakistani']",1
"['Indian', 'Himalayan/Nepalese', 'Seafood']",1
"['Indian', 'Himalayan/Nepalese', 'Vegan']",1
"['Indian', 'Himalayan/Nepalese']",18
"['Indian', 'Ice Cream & Frozen Yogurt', 'Breakfast & Brunch']",1
"['Indian', 'Irish Pub']",1
"['Indian', 'Kebab', 'Halal']",1
"['Indian', 'Lounges', 'Dance Clubs']",1
"['Indian', 'Lounges']",1
"['Indian', 'Mexican', 'Asian Fusion']",1
"['Indian', 'Middle Eastern', 'Pan Asian']",1
"['Indian', 'Pakistani', 'Buffets']",1
"['Indian', 'Pakistani', 'Halal']",11
"['Indian', 'Pakistani', 'Lounges']",1
"['Indian', 'Pakistani', 'Vegan']",1
"['Indian', 'Pakistani', 'Venues & Event Spaces']",1
"['Indian', 'Pakistani']",27
"['Indian', 'Pizza', 'Asian Fusion']",2
"['Indian', 'Pizza', 'Salad']",1
"['Indian', 'Salad', 'Buffets']",1
"['Indian', 'Salad', 'Mediterranean']",1
"['Indian', 'Seafood', 'Specialty Food']",1
"['Indian', 'Seafood']",2
"['Indian', 'Soup', 'Seafood']",1
"['Indian', 'Specialty Food', 'Buffets']",1
"['Indian', 'Street Vendors', 'Caterers']",1
"['Indian', 'Street Vendors']",1
"['Indian', 'Tacos']",1
"['Indian', 'Vegan', 'Sandwiches']",1
"['Indian', 'Vegan', 'Seafood']",1
"['Indian', 'Vegan', 'Vegetarian']",1
"['Indian', 'Vegetarian', 'Asian Fusion']",1
"['Indian', 'Vegetarian', 'Caterers']",1
"['Indian', 'Vegetarian', 'Food Trucks']",1
"['Indian', 'Vegetarian', 'Gluten-Free']",2
"['Indian', 'Vegetarian', 'Seafood']",1
"['Indian', 'Vegetarian', 'Vegan']",4
"['Indian', 'Vegetarian']",20
"['Indian', 'Venues & Event Spaces', 'Bars']",2
"['Indian', 'Venues & Event Spaces']",1
"['Indian', 'Wine Bars']",1
['Indian'],188
"['Indonesian', 'Asian Fusion']",1
"['Indonesian', 'Lounges']",1
['Indonesian'],4
"['International Grocery', 'Fruits & Veggies', 'Delis']",1
"['International Grocery', 'Halal', 'Meat Shops']",1
"['International Grocery', 'Mexican', 'Delis']",1
"['International Grocery', 'Mexican']",1
"['International Grocery', 'Sushi Bars', 'Japanese']",1
"['International Grocery', 'Venues & Event Spaces', 'Cafes']",1
"['Irish Pub', 'Comfort Food']",1
"['Irish Pub', 'Whiskey Bars', 'Gastropubs']",1
"['Irish', 'Irish Pub']",2
"['Irish', 'Pubs', 'Sports Bars']",1
"['Irish', 'Pubs']",3
"['Irish', 'Sports Bars']",1
"['Italian', 'American (New)', 'American (Traditional)']",1
"['Italian', 'American (New)', 'Bars']",1
"['Italian', 'American (New)', 'Breakfast & Brunch']",1
"['Italian', 'American (New)', 'Mediterranean']",1
"['Italian', 'American (New)', 'Pizza']",1
"['Italian', 'American (New)', 'Seafood']",1
"['Italian', 'American (New)', 'Steakhouses']",1
"['Italian', 'American (New)', 'Wine Bars']",2
"['Italian', 'American (New)']",6
"['Italian', 'American (Traditional)', 'Breakfast & Brunch']",2
"['Italian', 'American (Traditional)', 'Cocktail Bars']",1
"['Italian', 'American (Traditional)', 'Music Venues']",1
"['Italian', 'American (Traditional)', 'Seafood']",2
"['Italian', 'American (Traditional)']",1
"['Italian', 'Argentine']",2
"['Italian', 'Asian Fusion', 'Bars']",1
"['Italian', 'Bakeries', 'Pizza']",1
"['Italian', 'Barbeque']",1
"['Italian', 'Bars', 'Breakfast & Brunch']",4
"['Italian', 'Bars', 'Pizza']",3
"['Italian', 'Bars', 'Seafood']",2
"['Italian', 'Bars', 'Venues & Event Spaces']",1
"['Italian', 'Bars']",23
"['Italian', 'Beer, Wine & Spirits', 'Wine Bars']",1
"['Italian', 'Beverage Store']",1
"['Italian', 'Bocce Ball', 'Venues & Event Spaces']",1
"['Italian', 'Breakfast & Brunch', 'Bars']",1
"['Italian', 'Breakfast & Brunch', 'Coffee & Tea']",2
"['Italian', 'Breakfast & Brunch', 'Diners']",1
"['Italian', 'Breakfast & Brunch', 'Pizza']",1
"['Italian', 'Breakfast & Brunch', 'Sandwiches']",1
"['Italian', 'Breakfast & Brunch', 'Seafood']",1
"['Italian', 'Breakfast & Brunch', 'Wine Bars']",4
"['Italian', 'Breakfast & Brunch', 'Wine Tasting Room']",1
"['Italian', 'Breakfast & Brunch']",2
"['Italian', 'Burgers', 'Sports Bars']",1
"['Italian', 'Cafes']",1
"['Italian', 'Cocktail Bars', 'Pizza']",2
"['Italian', 'Cocktail Bars', 'Seafood']",2
"['Italian', 'Cocktail Bars', 'Wine Bars']",2
"['Italian', 'Cocktail Bars']",4
"['Italian', 'Coffee & Tea']",2
"['Italian', 'Comfort Food', 'Bars']",1
"['Italian', 'Delis', 'Sandwiches']",2
"['Italian', 'Delis']",1
"['Italian', 'Desserts', 'Bars']",2
"['Italian', 'Desserts', 'Cocktail Bars']",1
"['Italian', 'Desserts', 'Diners']",1
"['Italian', 'Desserts', 'Pizza']",1
"['Italian', 'Desserts', 'Salad']",1
"['Italian', 'Desserts', 'Seafood']",1
"['Italian', 'Desserts', 'Wine Bars']",2
"['Italian', 'Desserts']",2
"['Italian', 'Diners', 'Cocktail Bars']",2
"['Italian', 'Food Stands']",1
"['Italian', 'Food Trucks', 'Caterers']",1
"['Italian', 'French', 'Caterers']",1
"['Italian', 'French', 'Wine Bars']",1
"['Italian', 'French']",2
"['Italian', 'Gelato', 'Delis']",1
"['Italian', 'Gluten-Free']",1
"['Italian', 'Imported Food']",1
"['Italian', 'Indian']",1
"['Italian', 'Jazz & Blues']",1
"['Italian', 'Lounges', 'Cocktail Bars']",1
"['Italian', 'Mediterranean', 'Desserts']",1
"['Italian', 'Mediterranean', 'Wine Bars']",1
"['Italian', 'Mediterranean']",1
"['Italian', 'Mexican', 'Salvadoran']",1
"['Italian', 'Modern European', 'Desserts']",1
"['Italian', 'Music Venues', 'Bars']",1
"['Italian', 'Music Venues', 'Seafood']",1
"['Italian', 'Pasta Shops', 'Pizza']",1
"['Italian', 'Pasta Shops', 'Salad']",1
"['Italian', 'Pasta Shops', 'Sandwiches']",1
"['Italian', 'Pasta Shops']",4
"['Italian', 'Piano Bars', 'American (Traditional)']",1
"['Italian', 'Pizza', 'American (New)']",1
"['Italian', 'Pizza', 'Bars']",11
"['Italian', 'Pizza', 'Beer, Wine & Spirits']",1
"['Italian', 'Pizza', 'Breakfast & Brunch']",2
"['Italian', 'Pizza', 'Cocktail Bars']",1
"['Italian', 'Pizza', 'Coffee & Tea']",2
"['Italian', 'Pizza', 'Delis']",1
"['Italian', 'Pizza', 'Gluten-Free']",1
"['Italian', 'Pizza', 'Mexican']",1
"['Italian', 'Pizza', 'Pasta Shops']",1
"['Italian', 'Pizza', 'Salad']",3
"['Italian', 'Pizza', 'Sandwiches']",2
"['Italian', 'Pizza', 'Seafood']",3
"['Italian', 'Pizza', 'Sports Bars']",1
"['Italian', 'Pizza', 'Venues & Event Spaces']",2
"['Italian', 'Pizza', 'Whiskey Bars']",1
"['Italian', 'Pizza', 'Wine Bars']",7
"['Italian', 'Pizza']",47
"['Italian', 'Pubs', 'Party & Event Planning']",1
"['Italian', 'Salad', 'Pizza']",1
"['Italian', 'Salad', 'Wine Bars']",1
"['Italian', 'Salad']",1
"['Italian', 'Sandwiches']",2
"['Italian', 'Scandinavian']",1
"['Italian', 'Seafood', 'American (New)']",1
"['Italian', 'Seafood', 'American (Traditional)']",1
"['Italian', 'Seafood', 'Bars']",2
"['Italian', 'Seafood', 'Cocktail Bars']",1
"['Italian', 'Seafood', 'Gluten-Free']",1
"['Italian', 'Seafood', 'Pizza']",8
"['Italian', 'Seafood', 'Sandwiches']",1
"['Italian', 'Seafood', 'Wine Bars']",2
"['Italian', 'Seafood']",15
"['Italian', 'Sports Bars', 'Pizza']",1
"['Italian', 'Steakhouses', 'Breakfast & Brunch']",1
"['Italian', 'Steakhouses', 'Seafood']",4
"['Italian', 'Tapas/Small Plates']",1
"['Italian', 'Venezuelan']",1
"['Italian', 'Venues & Event Spaces', 'Bars']",1
"['Italian', 'Venues & Event Spaces', 'Bocce Ball']",1
"['Italian', 'Venues & Event Spaces', 'Pizza']",1
"['Italian', 'Venues & Event Spaces', 'Seafood']",1
"['Italian', 'Venues & Event Spaces', 'Wine Bars']",1
"['Italian', 'Venues & Event Spaces']",2
"['Italian', 'Vermouth Bars', 'Gastropubs']",1
"['Italian', 'Waffles', 'Coffee & Tea']",1
"['Italian', 'Wine Bars', 'Breakfast & Brunch']",2
"['Italian', 'Wine Bars', 'Cocktail Bars']",5
"['Italian', 'Wine Bars', 'Desserts']",1
"['Italian', 'Wine Bars', 'Pizza']",3
"['Italian', 'Wine Bars', 'Tapas/Small Plates']",1
"['Italian', 'Wine Bars', 'Venues & Event Spaces']",2
"['Italian', 'Wine Bars', 'Wine Tasting Classes']",1
"['Italian', 'Wine Bars']",13
['Italian'],161
"['Izakaya', 'Cocktail Bars', 'Ramen']",1
"['Izakaya', 'Cocktail Bars']",1
"['Izakaya', 'Ramen']",1
"['Izakaya', 'Salad']",1
"['Izakaya', 'Sushi Bars', 'Bars']",1
"['Izakaya', 'Sushi Bars', 'Ramen']",2
"['Izakaya', 'Sushi Bars']",1
"['Izakaya', 'Tapas/Small Plates', 'Ramen']",1
"['Izakaya', 'Tapas/Small Plates']",1
['Izakaya'],2
"['Japanese Curry', 'Food Trucks']",1
"['Japanese Curry', 'Noodles', 'Asian Fusion']",1
"['Japanese Curry', 'Tapas/Small Plates']",1
['Japanese Curry'],5
"['Japanese', 'Asian Fusion', 'Barbeque']",1
"['Japanese', 'Asian Fusion', 'Gluten-Free']",1
"['Japanese', 'Asian Fusion', 'Poke']",1
"['Japanese', 'Asian Fusion', 'Sushi Bars']",1
"['Japanese', 'Asian Fusion', 'Tapas/Small Plates']",1
"['Japanese', 'Asian Fusion']",2
"['Japanese', 'Barbeque', 'Asian Fusion']",2
"['Japanese', 'Barbeque', 'Sushi Bars']",1
"['Japanese', 'Barbeque']",2
"['Japanese', 'Bars', 'American (New)']",1
"['Japanese', 'Bars', 'Asian Fusion']",1
"['Japanese', 'Bars', 'Sushi Bars']",1
"['Japanese', 'Breakfast & Brunch', 'Hawaiian']",1
"['Japanese', 'Buffets', 'Chinese']",1
"['Japanese', 'Buffets', 'Sushi Bars']",1
"['Japanese', 'Burgers', 'Asian Fusion']",1
"['Japanese', 'Caterers']",1
"['Japanese', 'Chinese', 'Sushi Bars']",1
"['Japanese', 'Chinese']",2
"['Japanese', 'Cocktail Bars', 'Sushi Bars']",1
"['Japanese', 'Comfort Food']",1
"['Japanese', 'Delis', 'Sushi Bars']",1
"['Japanese', 'Delis']",1
"['Japanese', 'Desserts', 'Ice Cream & Frozen Yogurt']",1
"['Japanese', 'Diners', 'Comfort Food']",1
"['Japanese', 'Fast Food', 'Asian Fusion']",1
"['Japanese', 'Fast Food', 'Sushi Bars']",1
"['Japanese', 'Fast Food']",4
"['Japanese', 'Fondue', 'Hot Pot']",1
"['Japanese', 'Food Delivery Services']",1
"['Japanese', 'Food Trucks', 'Vietnamese']",1
"['Japanese', 'Food Trucks']",1
"['Japanese', 'French', 'American (New)']",2
"['Japanese', 'Hawaiian']",2
"['Japanese', 'Hot Pot', 'Asian Fusion']",2
"['Japanese', 'Hot Pot', 'Bars']",1
"['Japanese', 'Hot Pot', 'Buffets']",1
"['Japanese', 'Hot Pot', 'Do-It-Yourself Food']",1
"['Japanese', 'Hot Pot', 'Fondue']",1
"['Japanese', 'Hot Pot', 'Noodles']",1
"['Japanese', 'Hot Pot']",4
"['Japanese', 'Italian', 'Seafood']",1
"['Japanese', 'Karaoke', 'Asian Fusion']",1
"['Japanese', 'Karaoke', 'Sushi Bars']",5
"['Japanese', 'Korean', 'American (Traditional)']",2
"['Japanese', 'Korean', 'Breakfast & Brunch']",1
"['Japanese', 'Korean', 'Caterers']",1
"['Japanese', 'Korean', 'Sports Bars']",1
"['Japanese', 'Korean', 'Sushi Bars']",4
"['Japanese', 'Korean']",10
"['Japanese', 'Laotian']",1
"['Japanese', 'Lounges', 'Whiskey Bars']",1
"['Japanese', 'Noodles', 'Desserts']",1
"['Japanese', 'Noodles', 'Sandwiches']",1
"['Japanese', 'Noodles', 'Soup']",1
"['Japanese', 'Noodles', 'Sushi Bars']",1
"['Japanese', 'Noodles']",5
"['Japanese', 'Peruvian', 'Cocktail Bars']",2
"['Japanese', 'Pop-Up Restaurants', 'Tapas/Small Plates']",1
"['Japanese', 'Pop-Up Restaurants']",1
"['Japanese', 'Pubs', 'Sushi Bars']",1
"['Japanese', 'Russian', 'Mongolian']",1
"['Japanese', 'Sandwiches']",1
"['Japanese', 'Seafood', 'Sushi Bars']",1
"['Japanese', 'Seafood']",2
"['Japanese', 'Steakhouses', 'Seafood']",1
"['Japanese', 'Steakhouses', 'Sushi Bars']",3
"['Japanese', 'Steakhouses']",3
"['Japanese', 'Sushi Bars', 'Asian Fusion']",15
"['Japanese', 'Sushi Bars', 'Barbeque']",3
"['Japanese', 'Sushi Bars', 'Bars']",2
"['Japanese', 'Sushi Bars', 'Beer Bar']",1
"['Japanese', 'Sushi Bars', 'Bubble Tea']",1
"['Japanese', 'Sushi Bars', 'Buffets']",3
"['Japanese', 'Sushi Bars', 'Chinese']",1
"['Japanese', 'Sushi Bars', 'Cocktail Bars']",3
"['Japanese', 'Sushi Bars', 'Desserts']",4
"['Japanese', 'Sushi Bars', 'Diners']",1
"['Japanese', 'Sushi Bars', 'Fast Food']",1
"['Japanese', 'Sushi Bars', 'Gluten-Free']",2
"['Japanese', 'Sushi Bars', 'Korean']",3
"['Japanese', 'Sushi Bars', 'Noodles']",3
"['Japanese', 'Sushi Bars', 'Poke']",2
"['Japanese', 'Sushi Bars', 'Salad']",4
"['Japanese', 'Sushi Bars', 'Seafood']",12
"['Japanese', 'Sushi Bars', 'Soup']",7
"['Japanese', 'Sushi Bars', 'Sports Bars']",2
"['Japanese', 'Sushi Bars', 'Steakhouses']",2
"['Japanese', 'Sushi Bars', 'Tapas Bars']",1
"['Japanese', 'Sushi Bars', 'Tapas/Small Plates']",4
"['Japanese', 'Sushi Bars', 'Vegan']",2
"['Japanese', 'Sushi Bars', 'Vegetarian']",2
"['Japanese', 'Sushi Bars', 'Vietnamese']",1
"['Japanese', 'Sushi Bars']",211
"['Japanese', 'Taiwanese', 'Asian Fusion']",2
"['Japanese', 'Taiwanese', 'Chinese']",1
"['Japanese', 'Taiwanese', 'Soup']",1
"['Japanese', 'Tapas/Small Plates', 'Asian Fusion']",1
"['Japanese', 'Tapas/Small Plates', 'Noodles']",1
"['Japanese', 'Tapas/Small Plates', 'Sushi Bars']",1
"['Japanese', 'Tapas/Small Plates', 'Tapas Bars']",1
"['Japanese', 'Tapas/Small Plates']",3
['Japanese'],111
"['Jazz & Blues', 'Japanese', 'Music Venues']",1
"['Jazz & Blues', 'Seafood', 'Salad']",1
"['Jazz & Blues', 'Southern', 'Lounges']",1
"['Jazz & Blues', 'Southern', 'Soul Food']",1
"['Jazz & Blues', 'Steakhouses', 'Seafood']",1
"['Jazz & Blues', 'Wine Bars', 'Tapas/Small Plates']",1
"['Juice Bars & Smoothies', 'Acai Bowls', 'Cafes']",1
"['Juice Bars & Smoothies', 'Acai Bowls', 'Sandwiches']",1
"['Juice Bars & Smoothies', 'Acai Bowls', 'Vegan']",1
"['Juice Bars & Smoothies', 'Acai Bowls', 'Wraps']",1
"['Juice Bars & Smoothies', 'Asian Fusion', 'Bubble Tea']",1
"['Juice Bars & Smoothies', 'Bakeries', 'Sandwiches']",1
"['Juice Bars & Smoothies', 'Breakfast & Brunch', 'Caterers']",1
"['Juice Bars & Smoothies', 'Breakfast & Brunch', 'Delis']",1
"['Juice Bars & Smoothies', 'Breakfast & Brunch', 'Mexican']",1
