,Name,Category,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID
121,Isla Vida,"['Caribbean', 'Cuban']",San Francisco,94115.0,37.78179,-122.43285,4.5,181,$$,-Ac4uQxIirQMD9hQatNRVw
1434,Yaad Jerk,"['Caribbean', 'Food Trucks', 'Caterers']",Sacramento,94203,38.5793418884277,-121.490898132324,4.5,13,NAN,vJGJYeDac__8CUqQdCuZcA
12841,Daniel's Caribbean Kitchen,"['Caribbean', 'Food Trucks']",Berkeley,94703,37.8538113952591,-122.27062694728399,4.5,42,$,s07jXDByt-haZ2mnSK2s6g
45498,Palm House,"['Caribbean', 'Hawaiian', 'Venues & Event Spaces']",San Francisco,94123,37.797772,-122.432887,4.0,758,$$,9nltvO9__dkyRIT17D5TqQ
14656,Guava the Caribbean Food Company,"['Caribbean', 'Imported Food']",Oakland,94612,37.8071708679199,-122.267929077148,5.0,5,$,YvZ2Gy7KLJECo8LJxsYb0Q
9207,Stone's Jamaican Roots & Juice,"['Caribbean', 'Juice Bars & Smoothies', 'Sandwiches']",San Rafael,94901,37.973863,-122.53946,4.5,89,$$,S1oAJZbOpauJ-WcLXteipg
14586,New Karibbean City,"['Caribbean', 'Music Venues', 'Dance Clubs']",Oakland,94620,37.80353,-122.26843999999998,3.0,116,$$,5Gsv7QDTYJNRfrxj0-NASA
9134,Whipper Snapper Restaurant,"['Caribbean', 'Tapas/Small Plates', 'Latin American']",San Rafael,94901,37.9738121032715,-122.537109375,4.0,352,$$,fES1B1q8TUHP9sKsU9ifkA
14675,Get Jerked!,"['Caribbean', 'Vegetarian', 'Food Stands']",Oakland,,37.80508,-122.27306999999999,4.5,2,$,gWz660eGCt9HWPF7hZCnew
47299,Orlando's Caribbean BBQ,['Caribbean'],San Francisco,94107,37.778075160357,-122.390699338623,4.0,59,$$,y9Zwc68Gfkh4We5cR9YiSg
33297,Coconuts Caribbean Restaurant & Bar,['Caribbean'],Palo Alto,94301,37.44381,-122.16027,4.0,2118,$$,0WDM3JlNBvk2MeOTlu03mg
40040,Trini Doublez,['Caribbean'],San Jose,95128,37.321174,-121.87893400000002,4.5,2,NAN,RZGVNX9N4V99VAdWccGE8Q
6948,Ruthie's Caribbean Kitchen,['Caribbean'],Vallejo,94590,38.1106441,-122.2545851,4.0,192,$$,5TBY3ZjaWLTA3880E1WN4A
41455,Reggae Pot,['Caribbean'],Los Gatos,95032,37.244195,-121.960632,4.5,288,$$,B6typZhxPe9RHoHo24LjSA
25784,Flavas Jamaican Grill,['Caribbean'],South San Francisco,94080,37.6557135964466,-122.409782813556,4.0,611,$$,t8pfuyFuHN8tYgH1cujijw
21472,Peaches Patties Jamaican Kitchen,['Caribbean'],San Francisco,94110,37.739360600000005,-122.41800220000002,4.0,38,$$,9O4Y33B0JI2z9s_NsXNpGg
17999,Miss Ollie's,['Caribbean'],Oakland,94607,37.801536999999996,-122.274653,4.0,618,$$,RAIBhfeky34g-wUyRNuEuA
31998,Cariblue Restaurant,['Caribbean'],Redwood City,94063,37.4870914,-122.2201632,4.5,194,$$,qb1ba6QAwzBSIv-ifUHeBg
25363,Livermore Casino,"['Casinos', 'Bars', 'American (Traditional)']",Livermore,94551,37.688109999999995,-121.75711000000001,3.5,81,$,odl9t_O9BS5piWT5jsOreQ
12890,Poulet,"['Caterers', 'American (New)', 'Delis']",Berkeley,94709,37.876831,-122.268622,3.5,166,$$,U9peOwtFKX_IfMGAVSJnjg
6247,Sarah's Eats and Sweets,"['Caterers', 'Bakeries', 'Sandwiches']",Petaluma,94954,38.235659999999996,-122.6024,5.0,212,$,MYvnmhQ3nB9OR8aw2nnkdg
38442,Sim's Bar-B-Que,"['Caterers', 'Barbeque']",San Jose,95116,37.350559999999994,-121.82935,4.5,13,NAN,4EfbdoBB7L_buOU1CqKFRg
8948,2 LEGIT 2 PIT BBQ,"['Caterers', 'Barbeque']",Oakley,94561,37.994040000000005,-121.71503,5.0,1,NAN,62XbclzZyQyGN58J7uVf-g
2836,The BBQ Spot Catering,"['Caterers', 'Barbeque']",Santa Rosa,95401,38.449291229248,-122.733917236328,5.0,12,NAN,kMlrAZWTWitAsnlILIUBDg
31944,Old Texas BBQ,"['Caterers', 'Barbeque']",San Carlos,94070,37.49827,-122.27078,3.5,2,NAN,0fEMpABlW4MyYpch2zyw6w
1898,Anderson Family Catering & BBQ,"['Caterers', 'Barbeque']",Winters,95694,38.52173,-121.9706,5.0,1,NAN,jHZ8v3Vj_Fs_bKL1AbO1MA
42145,The Art of Bbq,"['Caterers', 'Barbeque']",San Jose,95123,37.250066,-121.832921,4.5,265,$$,O9wdHNG3XvRgEHHHkwhO3A
41998,Julian Q's Famous BBQ & Catering,"['Caterers', 'Barbeque']",San Jose,95124,37.25643,-121.92308999999999,5.0,1,NAN,F1EZ-gD7VGZiPpHbjHiABQ
22019,Goldie's Oakwood BBQ,"['Caterers', 'Barbeque']",San Francisco,94134,37.726970388970706,-122.368510211836,5.0,56,NAN,6aQKIjicNuZtu0RSuj--Cg
2221,Pipin' Hot Smokers BBQ,"['Caterers', 'Barbeque']",Sacramento,95822,38.495418548584,-121.47918701171899,4.5,27,$$,I7Sr7S8Gthgs8vQ0Z3pUzQ
9243,Forrest Fire BBQ,"['Caterers', 'Barbeque']",San Rafael,94901,37.96445,-122.50576000000001,5.0,1,NAN,SCuwjHKyUHwDvvU2HkFYLg
9890,Steel Smokin BBQ and Catering,"['Caterers', 'Barbeque']",Pleasant Hill,94523,37.936876,-122.06624199999999,4.5,62,$$,HUa8mtvF6uh0VJ-C4pKVHw
23538,SAVAGE SMOKEHOUSE BBQ,"['Caterers', 'Barbeque']",Daly City,94014,37.68971633911129,-122.447219848633,5.0,1,NAN,tyDMmOOzpx2MVy7OUAkm8g
21952,Mission Picnic Catering,"['Caterers', 'Breakfast & Brunch', 'Sandwiches']",San Francisco,94110,37.757242600000005,-122.42100719999999,5.0,6,NAN,GlJ41h5RmKuU3HKBu722JQ
7314,Forks and Fingers,"['Caterers', 'Cafes']",Novato,94949,38.0736808776855,-122.53694152831999,4.5,92,$,3x7de4dwSUJNbOM4ZOXGug
8577,Englund's Cafe & Catering,"['Caterers', 'Delis', 'Cafes']",Concord,94520,38.01405715942379,-122.025161743164,4.5,135,$,i6bNSy6CJn_cquyD1ACGZA
6924,Tagliaferri's Delicatessen & Cafe,"['Caterers', 'Delis', 'Sandwiches']",Novato,94945,38.1089485,-122.5786488,3.5,144,$$,z-pdEFIVG-fKezR9n1CGOQ
1582,Zia's Delicatessen,"['Caterers', 'Delis', 'Sandwiches']",Sacramento,95814,38.573582,-121.489853,4.0,111,$,6NqUZS01Uc6tysI7zooqzA
25583,Lidia's Delicatessen,"['Caterers', 'Delis']",South San Francisco,94080,37.6614273,-122.43886380000001,4.5,48,$,3KEMKuZY93GHgjRvh2Mv3g
33469,Village Cheese House,"['Caterers', 'Delis']",Palo Alto,94301,37.439303255792,-122.15829402328998,3.5,388,$,cnNKs5mq3JhA-Rr_lbRoWw
101,Perry's Delicatessen and Catering,"['Caterers', 'Delis']",Middletown,95461,38.748222351074205,-122.616348266602,4.0,64,$,RP6K-zNK9PTP0VJl58PUmQ
16774,Great City Deli,"['Caterers', 'Delis']",San Francisco,94115,37.78629,-122.44028,5.0,1,NAN,03Dex7FQCzXC4_tox1JR2A
15953,Emilio's Delicatessen & Catering,"['Caterers', 'Delis']",Danville,94526,37.813681,-121.9961263,3.0,5,$$,G_AveuAL65huOja0spM3pA
28283,Pinoy Handaan,"['Caterers', 'Filipino', 'Venues & Event Spaces']",Union City,94587,37.5963287,-122.0805206,3.0,222,$$,eTdBTrjCCfbTMPZC-MAv1g
14270,Jeepney Guy,"['Caterers', 'Filipino']",Oakland,94607,37.8041579,-122.2907084,4.5,59,$,4CWoy1vTAVCtwtDyKzt2nw
38110,El Tapatio Mexican Food Catering,"['Caterers', 'Food Stands']",San Jose,95126,37.3251342773438,-121.91415405273399,5.0,1,NAN,fxYlWDOXfRFXFT_69W7F6w
16904,Whisk on Wheels,"['Caterers', 'Food Trucks', 'American (Traditional)']",Redwood City,94063,37.48853,-122.22662,4.0,118,$$,X1NgPMMREoTTDAZPe6D-kA
10269,ChillyWilly's Smokehouse BBQ,"['Caterers', 'Food Trucks', 'Barbeque']",Concord,94521,37.95216,-121.95812,5.0,5,NAN,P9w1XgiWq8bhHapk27Bt4w
