,Name,Lat_Restaurant,Lng_Restaurant,Address,Zip,Rating,# of Reviews,Price Level,Category,Yelp ID,City,County
600,Whitey's Jolly Kone,38.57168,-121.5238,1300 Jefferson Blvd,95691,4,368,$,Fast Food,wLUODnY2m2pqMPEiNyqZ0w,West Sacramento,Yolo County
601,Roman's Pizza,38.58095,-121.53033,1648 W Capitol Ave,95691,4,216,$,Pizza,MrtORrCrTKdUuKOSQYwnmg,West Sacramento,Yolo County
602,Carol's Restaurant,38.580933,-121.523929,1201 W Capitol Ave,95691,4,344,$$,Breakfast & Brunch,4mpEi_dekmRnPr873Sbwrw,West Sacramento,Yolo County
603,Kabab Corner,38.575172,-121.523735,1001 Jefferson Blvd,95691,3.5,148,$,Indian,AsrkTvigjppeSrNk0rkUug,West Sacramento,Yolo County
604,Club Pheasant,38.55182,-121.53711,2525 Jefferson Blvd,95691,3,278,$$,Italian,m8TQyBEec4AmbhvAGRsz4A,West Sacramento,Yolo County
605,Cap's Bar and Grill,38.58291,-121.51979,900 W Capitol,95691,3.5,19,$,American (New),4zDZ3YMMDhqBPSyxuM4Stw,West Sacramento,Yolo County
606,Aloha Poke & Ramen,38.54945,-121.5374,2055 Town Center Plz,95691,4,56,unavailable,Poke,bAvwHwg1JPKQvko0832KWQ,West Sacramento,Yolo County
607,El Puerto Restaurant,38.58016,-121.53992,2248 West Capital Ave,95691,4,83,$,Mexican,_Lqsp6APNtJWTr9htJKIoQ,West Sacramento,Yolo County
608,Hula Hawaiian BBQ,38.550712,-121.538551,2155 Town Ctr Plz,95691,3,163,$,Hawaiian,67VWvLJ-vZU1_SdmlXSD3Q,West Sacramento,Yolo County
609,Cocina Dona Chuyita,38.57268,-121.523358,1035 Drever St,95691,4.5,90,$,Mexican,Pia4apWoOuhHpgEBfB8CWg,West Sacramento,Yolo County
610,Lighthouse Bar & Grill,38.57959404,-121.5384147,2125 W Capitol Ave,95691,3.5,8,$,Sports Bars,_-2jWFn7BQKluZM1-ENFtQ,West Sacramento,Yolo County
611,Eastside Chef,38.550116,-121.538699,2105 Town Center Plz,95691,3.5,202,$,Chinese,sWmKmTx9JUt0sPStOUrIfg,West Sacramento,Yolo County
612,Streets of London Pub,38.553607,-121.537864,2200 Lake Washington Blvd,95691,3,252,$$,British,i_sPGnHQojeFjzmlsvBJZg,West Sacramento,Yolo County
613,Hefty Burgers,38.58054,-121.5303334,1640 W Capitol Ave,95691,3.5,166,$,Burgers,e91QektfhOT1z7QWVz98iA,West Sacramento,Yolo County
614,Savoury,38.55603,-121.539779,2240 Lake Washington Blvd,95691,4.5,129,$,Cafes,WEnZWQuV_fDKcUq6HlTNBw,West Sacramento,Yolo County
615,Little Caesars,38.57991,-121.52515,825 Jefferson Blvd,95691,2,48,$,Pizza,sMJQiYlLKglskAJ00lm0bw,West Sacramento,Yolo County
616,Tsuki Sushi,38.554012,-121.538163,2210 Lake Washington Blvd,95691,3.5,194,$$,Sushi Bars,jIXimgjQz7nktgghdaZxzg,West Sacramento,Yolo County
617,KFC,38.5797,-121.531,812 Westacre Road,95691,1.5,71,$,Fast Food,8OVmPW-CSVukF2kVsIDdtQ,West Sacramento,Yolo County
618,Papa Murphy's,38.58243834,-121.5250848,1288 West Capitol Avenue,95691,3.5,16,$$,Pizza,9jT54u4hqYL6PV9ZAJ0ZKQ,West Sacramento,Yolo County
619,La Bou,38.5795699,-121.52597,849 Jefferson Blvd,95691,3,95,$,Coffee & Tea,ZkcJFvFXegjp3HMmOz464g,West Sacramento,Yolo County
620,Round Table Pizza,38.55078332,-121.5381432,2105 Town Center Plaza,95691,2,152,$$,Pizza,gJf-GTV68qyEDL7aqW3YXA,West Sacramento,Yolo County
621,Nugget Markets,38.55090952,-121.5359442,2000 Town Center Plz,95691,4.5,369,$$,Grocery,hjcDNEhmYayRfA2gRh8xgQ,West Sacramento,Yolo County
622,Panda Express,38.55392164,-121.5388657,2220 Lake Washington Blvd,95691,2.5,39,$,Chinese,7NwaF3FYbo2--Cz6J4BI-Q,West Sacramento,Yolo County
