,Name,Category,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID,County
74,Golden Bagel Cafe,"['Bagels', 'Coffee & Tea', 'Breakfast & Brunch']",Napa,94558.0,38.32047,-122.2987,3.0,125,$,n4YUx4Myd39Qvrt8wyLKig,Napa
75,Rincon De Michoacan,['Mexican'],Napa,94558.0,38.2944545184142,-122.303456920361,4.0,16,Unavailable,1GKhqdmzklCdEvuhazoyNw,Napa
76,Mis Antojos,['Mexican'],Napa,94558.0,38.3152809,-122.2979736,4.0,10,Unavailable,WjH_imdGFJXvAmuDlUgb5w,Napa
78,Jefferson Street Cafe,['Cafes'],Napa,94558.0,38.316829999999996,-122.29767,3.5,127,$$,-11_A07IaZKQkANobgiKOA,Napa
79,Villa Corona,"['Mexican', 'Breakfast & Brunch']",Napa,94558.0,38.32246247820221,-122.305241821091,3.5,325,$$,LNHteZ5ut28O10xUzQc0Ww,Napa
81,Great American Grill,"['American (New)', 'Barbeque']",Napa,94558.0,38.32428,-122.31301,4.5,3,$$,f6Gt4WGe5jFPtRH9EK1KwQ,Napa
82,Taqueria 3 Hermanos No 2,['Mexican'],Napa,94558.0,38.31698,-122.29846,3.5,19,$,R9fBvIctDbU6oKh2x6pR0w,Napa
83,Taco Bell,"['Mexican', 'Tex-Mex', 'Fast Food']",Napa,94558.0,38.31832,-122.29921000000002,2.0,37,$,YqyL8qT03pgXLZw6XXFZ6A,Napa
84,Sizzler,"['Seafood', 'Steakhouses', 'Salad']",Napa,94558.0,38.32185,-122.30339,3.0,40,$$,C5_Pfc7JhOS4LRIwpP9YfQ,Napa
85,New York Pizza Kitchen,"['Pizza', 'Italian', 'Salad']",Napa,94558.0,38.3248146,-122.28710330000001,2.5,128,$$,R2YiptexsykwDePrFRhyhw,Napa
87,Wendy's,"['Burgers', 'Fast Food']",Napa,94558.0,38.32287,-122.30241000000001,2.5,34,$,BYg5m-KKP9phvD2YXrXydg,Napa
88,Pizza Guys,['Pizza'],Napa,94558.0,38.315809922199996,-122.297640223138,3.0,66,$$,-8IQoQvRJIlHLe718ldpaA,Napa
89,Small World Deli,['Delis'],Napa,94558.0,38.298317044973395,-122.28667259216299,5.0,29,$,vxw7tfCYs93BnH07SBg8vA,Napa
90,Chipotle Mexican Grill,"['Mexican', 'Fast Food']",Napa,94558.0,38.3212414811427,-122.306123091231,3.0,94,$,uGvz0jz7gDdE-xk0Ev8ngA,Napa
93,Panera Bread,"['Sandwiches', 'Salad', 'Soup']",Napa,94558.0,38.320648999999996,-122.306722372787,2.5,115,$,XWyTzeZMGXoI9g62hJ9EbQ,Napa
95,Round Table Pizza,"['Pizza', 'Buffets']",Napa,94558.0,38.31931231800571,-122.309842024116,3.0,84,$$,exeUfCluoERaGs_JCh_T0g,Napa
96,McDonald's,"['Fast Food', 'Burgers', 'Coffee & Tea']",Napa,94558.0,38.319935,-122.298506,2.0,39,$,3u8DHV4mMSaWBA58d0kacA,Napa
97,Suppertime,['American (Traditional)'],Napa,94558.0,38.2948589,-122.3027956,3.5,43,$,PxxfICPaKqUqBISbthHPIQ,Napa
